,Parameter:,Unit:,Year:,Source:,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Cote Dlvoire,Djibouti,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mali,Mauritania,Mauritius,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe ,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Swaziland,Tanzania,Togo,Uganda,Zambia,Zimbabwe,China,USA,Sri Lanka,India,Bangladesh
,Agricultural Water Withdrawal,%,2005,FAO Aquastat,33.95,23.08,18.04,2.653,5.903,1.818,7.067,16.55,11.79,5,21.47,21.74,20.53,0,14.94,0.1718,0.65,10.14,19.23,9.674,9.416,4.571,3.884,45.66,36.24,1.194,3.011,0.0771,2.356,2.759,1.076,4.861,3.325,15.76,8,,2.611,27.74,26.15,0.0606,10.48,34.19,0.2785,1.152,0.4823,2.367,7.849,8.27,6.022,,,,,
,Industrial Water Withdrawal,%,2005,FAO Aquastat,45.27,31.54,40.72,45.92,17.01,7.273,16.67,82.9,11.79,48,68.01,69.57,41.05,84.21,79.31,5.326,10.3,60.89,37.46,23.93,37.65,13.14,36.86,45.66,54.36,2.913,9.026,2.063,7.067,29.52,0.025,25.35,29.93,40.1,24,9.7,4.412,65.69,52.31,0.4548,27,29.33,3.528,2.303,10.17,52.66,51.49,18.45,11.9,,,,,
Somalia (2011),Total population with access to safe drinking-water,%,2015,FAO Aquastat,49,77.9,96.2,82.3,75.9,91.7,75.6,68.5,50.8,90.1,52.4,76.5,81.9,90,47.9,57.8,57.3,93.2,90.2,88.7,76.8,79.3,62,82,75.6,52,90.2,77,57.9,99.9,51.1,91,58.2,68.5,76.1,97.1,76.3,95.7,62.6,31.7,93.2,58.7,55.5,74.1,55.6,63.1,79,65.4,76.9,95.5,99.2,95.6,94.1,86.9
,Rural population with access to safe drinking-water,%,2015,FAO Aquastat,28.2,72.1,92.3,75.8,73.8,87.3,52.7,54.4,44.8,89.1,31.2,40,68.8,64.7,31.5,53.3,48.6,66.7,84.4,84,67.4,60.3,55,77,62.6,35,89.1,64.1,57.1,99.8,37,84.6,48.6,57.3,71.9,93.6,64.2,95.7,47.8,8.8,81.4,56.9,50.2,68.9,45.5,44.2,75.8,51.3,67.3,93,98.2,95,92.6,87
,Urban population with access to safe drinking-water,%,2015,FAO Aquastat,75.4,85.2,99.2,97.5,91.1,94,94.8,89.6,71.8,92.6,81.1,95.8,93.1,97.4,72.5,73.2,93.1,97.2,94.2,92.6,92.7,98.8,82,95,88.6,82,95.7,96.5,58.4,99.9,80.6,98.2,100,80.8,86.6,98.9,92.5,95.7,84.9,69.6,99.6,66.7,66,93.6,77.2,91.4,95.5,85.6,97,97.5,99.4,98.5,97.1,86.5
Somalia (2011); Sudan (2014),Population with access to improved sanitation,%,2015,World Bank,51.6,19.7,63.4,19.7,48,72.2,45.8,21.8,12.1,35.8,28.7,15,22.5,47.4,74.5,15.7,28,41.9,58.9,14.9,20.1,20.8,30.1,30.3,16.9,12,41,24.7,40,93.1,20.5,34.4,10.9,29,61.6,34.7,47.6,98.4,13.3,24,66.4,6.7,24,57.5,15.6,11.6,19.1,43.9,36.8,,,,,
,Diarrhea as a cause of death for children under 5,%,2015,WHO/UNICEF,14.7,10.8,6.3,8.2,10.1,5.3,11.3,10.4,13.7,7.5,7.1,10.5,7.6,8.1,7.5,8.9,8.4,6.2,8.8,6.8,8.3,9.5,7.3,9.7,8.9,9.1,7.6,9.4,10.7,2.3,8.9,9,11.2,10.3,7.3,7.7,8.9,1,10.5,14.5,8.7,8.2,10.7,10.4,8.1,8.4,8.2,8.9,9.7,,,,,
,Total dam capacity,km^3,2015,FAO Aquastat,9.445,0.0235,0.4537,5.338,NaN,NaN,15.61,NaN,NaN,NaN,0.0529,0.009,37.24,NaN,NaN,0.0441,31.48,0.22,NaN,148.5,1.837,NaN,24.79,2.82,0.2386,0.4935,0.0418,13.79,0.5,0.0929,74.14,0.7085,0.0936,50.67,NaN,NaN,0.25,NaN,0.22,NaN,31.02,NaN,21.23,0.585,104.2,1.717,80,101.1,99.93,,,,,
,Gender inequality index,dim-less,2014,UN Development Program,,0.6143,0.4801,0.6313,0.4916,,0.587,0.6549,0.7065,NaN,0.673,0.59,0.6789,NaN,NaN,NaN,0.5583,0.5137,0.6224,0.5537,NaN,NaN,0.548,0.591,0.6512,0.698,0.6111,0.6767,0.6105,0.4188,0.5907,0.401,0.7132,NaN,0.4005,NaN,0.528,NaN,0.6501,NaN,0.4071,NaN,0.5909,0.5572,0.5469,0.5881,0.5381,0.5868,0.504,,,,,
,Gross domestic product (GDP),Million current US $,2015,World Bank,1.03E+05,8.48E+03,1.44E+04,1.11E+04,3.09E+03,1.63E+03,28415.95,1.50E+03,1.09E+04,623.751045,3.52E+04,8.55E+03,31752.5,1721,12202,,6.15E+04,14262,939,3.79E+04,6.70E+03,1.06E+03,63398,2278,2.05E+03,9739,6.57E+03,1.31E+04,5.44E+03,1.15E+04,1.47E+04,1.15E+04,7.14E+03,4.81E+05,8.10E+03,3.37E+02,13610,1.44E+03,4837,5.95E+03,3.13E+05,9015,8.41E+04,4.06E+03,4.49E+04,4.00E+03,27529,2.12E+04,1.39E+04,,,,,
,HDI,dim-less,2014,UN Development Program,0.5316,0.4796,0.6979,0.4023,0.3999,0.6462,0.512,0.3501,0.3919,0.5032,0.4331,0.59,0.4622,0.4704,0.5866,0.3909,0.4418,0.6835,0.4406,0.5791,0.4113,0.4196,0.535,0.497,0.4297,0.51,0.4454,0.4193,0.5059,0.7766,0.4164,0.6276,0.3483,0.514,0.4832,0.555,0.466,0.7725,0.4128,,0.6659,0.4667,0.4791,0.5306,0.5212,0.4835,0.4827,0.5855,0.5087,,,,,
,Education Index,normalized 0-1,2013,UN Development Program,0.474212067,0.413555556,0.619,0.250033333,0.370088889,0.483466667,0.485788889,0.317866667,0.255851922,0.450419756,0.371777778,0.511333333,0.389222222,0.305877778,0.414911111,0.227513722,0.316521973,0.589333333,0.345611111,0.552744444,0.294444733,0.325333333,0.514555556,0.504158407,0.367244444,0.458425611,0.439666667,0.305180943,0.352277778,0.718096828,0.372055556,0.520188889,0.197933333,0.42486,0.478166667,0.469165789,0.367811111,0.635928889,0.3045,NaN,0.695447164,NaN,0.305955556,0.551288889,0.425888889,0.514422222,0.478643671,0.591333333,0.499933333,,,,,
,Life Expectancy at both sexs,years,2015,WHO ,52.4,60,65.7,59.9,59.6,73.3,57.3,52.5,53.1,63.5,59.8,64.7,53.3,63.5,58.2,64.7,64.8,66,61.1,62.4,59,58.9,63.4,53.7,61.4,65.5,58.3,58.2,63.1,74.6,57.6,65.8,61.8,54.5,66.1,67.5,66.7,73.2,50.1,55,62.9,57.3,64.1,58.9,59.9,62.3,61.8,61.8,60.7,,,,,
djibouti (2015),GDP per capita,current US$,2016,World Bank,3110.8082,789.4404,6788.0427,649.7305,285.7274,2997.7527,1032.6487,382.2132,664.2957,775.0801,444.5053,1528.2448,1526.1972,1862.2,8333.2383,NaN,706.7578,7179.3407,473.1904,1513.461,508.1451,620.2148,1455.3598,998.1344,455.3707,401.3189,300.7948,780.5071,1077.5561,9627.5958,382.0693,4140.4619,363.227,2177.9852,702.8356,1756.0615,958.0737,15075.7194,496.0495,434.2088,5273.5939,NaN,2415.0382,2775.1539,879.1938,578.4617,615.3088,1178.3879,1008.5973,,,,,
,Wastewater treatment,%,2014,Yale EPI,0,0.0084,0.95,0,0,0,NA,0,0,NA,0,0.18,0.55,0,1.25,0,0,0,0.4,1.185484,0.605,0,3.2,0.3,0,0,0,0,0,4.2,0,6.25,0,0.154,0,NA,0.5,NA,0,NA,32.49,NA,0,3.7,1.44,0,0.42,4.2,0,,,,,
,Corruption ,dim-less,2009,World Wildlife Fund,2,NaN,NaN,NaN,NaN,NaN,2.2,NaN,NaN,NaN,NaN,NaN,1.9,NaN,1.9,NaN,NaN,2.9,2.7,NaN,NaN,NaN,2.1,3.4,NaN,2.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2,NA,3,NA,NaN,NaN,NaN,NaN,NaN,NaN,2.5,NaN,NaN,,,,,
,Environmental Governance,dim-less,-,World Wildlife Fund,-0.96,NaN,NaN,NaN,NaN,NaN,0.69,NaN,NaN,NaN,NaN,NaN,-0.46,NaN,NaN,NaN,NaN,0.35,-0.43,NaN,NaN,NaN,-0.37,NaN,NaN,0.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,NA,24,NA,NaN,NaN,NaN,NaN,NaN,NaN,-0.22,NaN,NaN,,,,,
,Voice and Accountability,dim-less,2015,World Bank Governance Indicators,-1.19,0.28,0.43,-0.19,-1.27,0.95,-0.96,-1.32,-1.35,-0.3,-1.31,-0.98,-0.44,-1.4,-2,-2.04,-1.26,-0.95,-1.48,0.51,-0.89,-0.81,-0.18,0.08,-0.26,-0.42,-0.01,-0.24,-0.91,0.81,-0.28,0.56,-0.25,-0.44,-1.13,0.27,0.25,0.06,-0.3,-2.01,0.63,-1.53,-1.82,-1.33,-0.21,-0.75,-0.59,-0.11,-1.19,,,,,
,Political Stability and Absence of Violence/Terrorism,dim-less,2015,World Bank Governance Indicators,-0.59,0,1.03,-0.65,-1.73,0.8,-0.99,-2.09,-0.99,-0.11,-2.17,-0.51,-0.86,-0.45,-0.19,-0.87,-1.48,0.03,0.01,0.03,-0.45,-0.44,-1.29,-0.1,-0.74,-0.4,-0.07,-1.66,-0.66,0.95,-0.58,0.65,-0.98,-2.07,-0.08,0.18,-0.17,0.69,-0.1,-2.47,-0.18,-2.36,-2.17,-0.46,-0.45,-0.17,-0.86,0.09,-0.58,,,,,
,Government Effectiveness,dim-less,2015,World Bank Governance Indicators,-1.01,-0.62,0.51,-0.59,-1.15,0.15,-0.76,-1.79,-1.45,-1.52,-1.63,-1.02,-0.65,-0.96,-1.42,-1.6,-0.64,-0.73,-0.89,-0.26,-1.14,-1.62,-0.29,-0.67,-1.37,-1.29,-0.67,-0.91,-1.03,1.04,-0.74,0.26,-0.61,-0.95,-0.04,-0.76,-0.44,0.43,-1.26,-2.22,0.27,-2.17,-1.48,-0.53,-0.6,-1.18,-0.48,-0.55,-1.15,,,,,
,Regulatory Quality,dim-less,2015,World Bank Governance Indicators,-0.91,-0.56,0.49,-0.36,-0.71,-0.26,-0.91,-1.44,-1.2,-1.03,-1.34,-1.19,-0.52,-0.69,-1.35,-2.11,-1,-0.8,-0.49,-0.03,-0.86,-1.2,-0.29,-0.39,-0.88,-0.76,-0.82,-0.57,-0.86,1.09,-0.49,-0.08,-0.73,-0.84,0.25,-0.77,-0.18,-0.09,-0.87,-2.15,0.3,-1.69,-1.5,-0.5,-0.36,-0.82,-0.24,-0.42,-1.65,,,,,
,Rule of Law,dim-less,2015,World Bank Governance Indicators,-1.07,-0.58,0.63,-0.53,-1.12,0.55,-0.96,-1.72,-1.16,-0.84,-1.55,-1.04,-0.62,-0.9,-1.4,-1.41,-0.44,-0.54,-0.66,0.12,-1.17,-1.3,-0.49,-0.17,-0.87,-0.69,-0.33,-0.76,-0.82,0.85,-0.87,0.19,-0.61,-1.04,0.07,-0.81,-0.15,0.19,-0.9,-2.34,0.06,-1.83,-1.18,-0.27,-0.43,-0.8,-0.34,-0.25,-1.35,,,,,
,Control of Corruption,dim-less,2015,World Bank Governance Indicators,-1.4,-0.61,0.84,-0.34,-1.17,0.91,-1.03,-1.31,-1.29,-0.64,-1.25,-1.22,-0.42,-0.58,-1.83,-1.34,-0.41,-0.67,-0.77,-0.18,-0.97,-1.43,-1.01,0.07,-0.61,-0.76,-0.76,-0.65,-0.91,0.4,-0.79,0.28,-0.58,-1.1,0.67,-0.2,0.03,0.89,-0.78,-1.62,-0.04,-1.71,-1.5,-0.32,-0.72,-0.71,-1.05,-0.41,-1.29,,,,,
,Population,1000 inhabitants,2015,FAO Aquastat,25022,10880,2262,18106,11179,520.5,23344,4900,14037,788.51,77267,5126,22702,887.9,845.1,5228,99391,1725,1991,27410,12609,1844,46050,2135,4503,24235,17215,17600,4068,1273,27978,2459,19899,182202,11610,190.3,15130,96.47,6453,10787,54490,12340,40235,1287,53470,7305,39032,16212,15603,,,,,
,Area of the country,1000 hectares,2014,FAO Aquastat,124670,11476,58173,27422,2783,403,47544,62298,128400,186.1,234486,34200,32246,2320,2805,11760,110430,26767,1130,23854,24586,3613,58037,3036,11137,58730,11848,124019,103070,204,79938,82429,126700,92377,2634,96,19671.2,46,7230,63766,121909,64433,187936,1736,94730,5679,24155,75261,39076,,,,,
,Falkenmark,m^3/person/yr,,,NaN,NaN,NaN,NaN,NaN,NaN,121273.1,NaN,NaN,1521.9,NaN,NaN,3706.3,337.9,30765.6,NaN,NaN,96231.9,4427.2,NaN,NaN,NaN,66.7,1415.5,NaN,13905.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2575.7,NaN,24794.7,NaN,NaN,1944.9,NaN,NaN,NaN,NaN,1539.8,NaN,NaN,,,,,
,Water Stress Index,hundreds of person per flow unit; 1 flow unit is 10^6 m^3,,,NaN,NaN,NaN,NaN,NaN,NaN,0.8,NaN,NaN,6.6,NaN,NaN,2.7,29.6,0.3,NaN,NaN,0.1,0.2,NaN,NaN,NaN,15,0.7,NaN,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9,NaN,0.4,NaN,NaN,5.1,NaN,NaN,NaN,NaN,6.5,NaN,NaN,,,,,
,Social Water Scarcity Index ,m^3/person/yr/HDI,,,NaN,NaN,NaN,NaN,NaN,NaN,1.6,NaN,NaN,13.1,NaN,NaN,5.8,62.9,0.6,NaN,NaN,0.2,0.5,NaN,NaN,NaN,1246.1,1.4,NaN,1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.3,NaN,1,NaN,NaN,11,NaN,NaN,NaN,NaN,13.5,NaN,NaN,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enegy,DALY attributable to Air Pollt,people (full lives),2015,WHO,72408.60773,26241.43791,3812.798981,34869.3466,20083.04047,1290.468965,54267.85726,14597.67224,42570.81903,1476.712359,7947.434425,153160.8823,70521.39824,1655.292249,2035.775486,8003.636249,164969.0161,3926.423702,3905.974701,65942.7166,28853.83166,4194.268719,50494.90501,5118.144812,8171.923275,39643.42342,24589.15372,35069.37386,8250.997252,3378.97871,47395.82504,4371.519183,45345.6739,480520.4282,15211.11646,349.398847,24049.3907,265.086871,20534.98823,27371.84031,132378.1028,24578.82712,101768.9088,2649.408333,79472.93517,16071.04761,52221.30305,21888.77594,22936.64177,,,,,
,DALY: Acute Lower Resp Disease,1000 years,2015,WHO,NaN,NaN,NaN,NaN,NaN,NaN,1578.8,NaN,NaN,1.1,NaN,NaN,2013.4,35.4,59.1,NaN,NaN,58.3,113.6323523,NaN,NaN,NaN,1602.9,116,NaN,909.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,534.2,NaN,654.3,NaN,NaN,1000.868219,NaN,NaN,NaN,NaN,1920.5,NaN,NaN,,,,,
,DALY: Lung Cancer,1000 years,2015,WHO,NaN,NaN,NaN,NaN,NaN,NaN,7.7,NaN,NaN,0.1,NaN,NaN,6.6,0.5,0.7,NaN,NaN,2.3,0.520019844,NaN,NaN,NaN,15.9,1,NaN,24.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.3,NaN,1.7,NaN,NaN,4.694986288,NaN,NaN,NaN,NaN,15.2,NaN,NaN,,,,,
,DALY: Chr Obs Pulm Disease,1000 years,2015,WHO,NaN,NaN,NaN,NaN,NaN,NaN,83.7,NaN,NaN,NaN,NaN,NaN,116.6,2.9,5.2,NaN,NaN,7.4,6.016300711,NaN,NaN,NaN,106.8,16.8,NaN,114.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.3,NaN,32.5,NaN,NaN,44.96823035,NaN,NaN,NaN,NaN,102.3,NaN,NaN,,,,,
,DALY: Stroke,1000 years,2015,WHO,NaN,NaN,NaN,NaN,NaN,NaN,425,NaN,NaN,2.1,NaN,NaN,613.7,13.4,13,NaN,NaN,23.7,27.81892672,NaN,NaN,NaN,345.5,28,NaN,369.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,181.3,NaN,161.2,NaN,NaN,145.876843,NaN,NaN,NaN,NaN,359,NaN,NaN,,,,,
,DALY: Isch Hrt Disease,1000 years,2015,WHO,NaN,NaN,NaN,NaN,NaN,NaN,314.3,NaN,NaN,NaN,NaN,NaN,483.1,11.9,13.1,NaN,NaN,21.1,23.32008596,NaN,NaN,NaN,221.5,29.2,NaN,237.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.4,NaN,129.4,NaN,NaN,112.5990211,NaN,NaN,NaN,NaN,227.3,NaN,NaN,,,,,
,Causes of Death attributable to Air Pollt,% of population,2015,WHO,2.893797767,2.411896867,1.685587525,1.925844836,1.796497045,2.476907802,2.32470259,2.979116784,3.032757642,1.874000456,1.720223902,1.982228924,3.106395835,1.864067848,2.409201759,1.530917416,1.659798333,2.276187653,1.96181552,2.405790463,2.288352102,2.274549197,1.096523453,2.397257523,1.814773101,1.635792178,1.428356301,1.99257806,2.028268744,2.654343056,1.694039068,1.777762986,2.278791593,2.637295025,1.310173683,1.8389413,1.589621965,2.761321573,3.182238995,2.537484037,2.429401776,1.991801225,2.529362713,2.058592333,1.486308868,2.200006518,1.337909998,1.350158891,1.470014854,,,,,
,Causes: Acute Lower Resp Disease,1000 inhabitants,2015,WHO,45.06159556,12.20956742,1.15436714,17.64712181,11.43564691,0.30980702,25.34418567,6.95709106,28.37447739,0.72291824,2.87332946,84.33174034,32.69016354,0.659272,0.93561648,3.43592513,68.85421041,1.34529296,1.86839235,24.67386322,14.49677629,2.02451296,26.94700984,1.8955409,3.89070939,14.5835604,11.83459264,14.8554184,3.76895399,0.30483891,22.23489437,1.57131511,27.89207785,305.4596003,6.69547669,0.12110219,9.27841665,0.06732849,10.31508463,19.69397937,35.33125429,14.2558042,24.01042914,0.93253469,39.01993937,7.25032632,28.38373171,11.45351951,11.5689915,,,,,
,Causes: Lung Cancer,1000 inhabitants,2015,WHO,0.182856285,0.050171211,0.048764851,0.170321377,0.081151321,0.005019335,0.185257329,0.040334283,0.072476717,0.005059549,0.030825795,0.416993509,0.205897324,0.015730699,0.021035386,0.062539349,1.584263607,0.068953312,0.016686781,0.349833405,0.089777369,0.015498709,0.529021582,0.032856292,0.033422445,0.815602593,0.071911507,0.174121055,0.030597202,0.16222397,0.354714372,0.048639523,0.042422953,0.961028826,0.098371374,0.014145077,0.131224404,0.014535231,0.046685493,0.135109845,7.880556051,0.142751856,0.391818693,0.020600093,0.181864925,0.050310042,0.4039245,0.112746144,0.250074094,,,,,
,Causes: Chr Obs Pulm Disease,1000 inhabitants,2015,WHO,3.55141188,1.27347349,0.4403603,1.25920591,1.14873892,0.06446479,2.52377568,1.01610158,1.15938985,0.086698,0.62451103,10.39108286,3.35901182,0.08857768,0.15442322,0.49260432,8.0169842,0.292134,0.19008956,2.57829162,1.39502043,0.20829212,3.27217879,0.59288517,0.31334228,3.31745444,1.61713963,2.73088189,0.33758667,0.44001332,2.20044975,0.47404138,1.68052239,14.31071494,1.15699774,0.04765968,1.3089959,0.01890893,0.95283062,0.77836579,15.47924572,1.26795011,6.74749698,0.30240025,3.9941041,0.79899058,2.85861454,1.20179043,1.43561748,,,,,
,Causes: Stroke,1000 inhabitants,2015,WHO,12.8293732,6.32783599,1.02268739,5.8981978,4.25462042,0.48749772,14.05598258,3.89888882,7.04361467,0.37290967,2.22267644,33.91340076,17.64429296,0.46375127,0.4387619,2.29450075,39.57094746,1.14143833,0.92500931,19.73401805,6.67459847,0.97690093,11.9758316,1.25821105,1.97880616,12.32646549,5.07991704,8.91475441,1.96592789,0.77275751,13.22133035,0.99622877,8.06443611,83.37865362,3.74855186,0.0926107,6.99933705,0.05330372,4.75686069,3.9230004,32.95800091,4.82894555,27.22178366,0.6622401,17.19503817,4.04421987,12.1466869,3.93888036,4.9227363,,,,,
,Causes: Isch Hrt Disease,1000 inhabitants,2015,WHO,10.7833708,6.3803898,1.1466193,9.8944997,3.1628829,0.4236801,12.158656,2.6852565,5.9208604,0.2891269,2.1960917,24.1076648,16.6220326,0.4279606,0.4859385,1.7180667,46.9426104,1.0786051,0.9057967,18.6067103,6.1976591,0.969064,7.7708632,1.3386514,1.955643,8.6003405,5.9855929,8.3941981,2.1479315,1.699145,9.3844362,1.2812944,7.6662146,76.4104305,3.5117188,0.0738812,6.3314167,0.1110105,4.4635268,2.8413849,40.7290458,4.0833754,43.3973803,0.7316332,19.0819886,3.9272008,8.4283454,5.1818395,4.7592224,,,,,
,Energy production ,Mtoe,2015,IEA Statistics,99.689,2.714,1.728,NaN,NaN,NaN,10.67,NaN,NaN,NaN,29.074,15.079,12.575,NaN,NaN,0.654,46.7,15.907,NaN,10.247,NaN,NaN,20.389,NaN,NaN,NaN,NaN,NaN,NaN,0.255,19.126,0.475,3.024,254.256,NaN,NaN,1.932,NaN,NaN,NaN,167.41,7.723,15.752,NaN,22.873,2.707,NaN,9.205,NaN,,,,,
,Net imports,Mtoe,2015,IEA Statistics,5.411,1.953,1.441,NaN,NaN,NaN,2.637,NaN,NaN,NaN,1.035,0.354,3.438,NaN,NaN,0.198,3.726,0.554,NaN,4.995,NaN,NaN,5.373,NaN,NaN,NaN,NaN,NaN,NaN,1.817,2.133,1.566,0.25,10.431,NaN,NaN,2.703,NaN,NaN,NaN,35.091,0.357,1.593,NaN,3.315,0.749,NaN,1.196,NaN,,,,,
,Net imports ratio,%,2015,IEA Statistics,36.19155909,42.87596048,53.07550645,NaN,NaN,NaN,33.83371824,NaN,NaN,NaN,3.582926576,13.32831325,26.47874307,NaN,NaN,23.29411765,7.453490698,10.92055983,NaN,51.51608911,NaN,NaN,21.4063745,NaN,NaN,NaN,NaN,NaN,NaN,125.2239835,16.47104247,83.60918313,8.434547908,7.484232958,NaN,NaN,66.10418195,NaN,NaN,NaN,24.70744793,64.09335727,10.16592214,NaN,12.76571165,21.83037015,NaN,11.67626672,NaN,,,,,
,energy export,Mtoe,2015,IEA Statistics,-89.493,-0.08,-0.14,NaN,NaN,NaN,-5.366,NaN,NaN,NaN,-1.092,-12.732,-2.978,NaN,NaN,0,-0.014,-11.137,NaN,-5.48,NaN,NaN,-0.013,NaN,NaN,NaN,NaN,NaN,NaN,0,-7.618,-0.118,-0.259,-127.146,NaN,NaN,-0.193,NaN,NaN,NaN,-55.895,-7.496,-1.387,NaN,0,0,NaN,-0.119,NaN,,,,,
